ds,pkg,old_ver,new_ver,note_en,note_zh
2026-05-01,pg_textsearch,1.0.0,1.1.0,"Timescale BM25 full-text search, PG 17-18, requires preload; Timescale BM25 full-text search update, PG 17-18, shared_preload_libraries required",Timescale BM25 全文搜索扩展更新，PG 17-18，需 preload；Timescale BM25 全文搜索更新，PG 17-18，需 shared_preload_libraries
2026-05-01,pg_trickle,0.31.0,0.40.0,"Rust/pgrx bump, PG 18 only; Rust/pgrx update, PG 18 only",Rust/pgrx 更新，仅支持 PG 18；Rust/pgrx 更新，仅 PG 18
2026-05-01,pgedge,17.9,18.3,rebuilt for PG 18,针对 18 重新构建
2026-05-01,pgproto,0.3.3,0.5.0,"PGXN bump, native Protobuf support; PGXN update, native Protobuf support, C/PGXS build",PGXN 更新，原生 Protobuf 支持；PGXN 更新，原生 Protobuf 支持，C/PGXS 构建
2026-05-01,snowflake,2.4,2.4,rebuilt for PG 18,针对 18 重新构建
2026-05-01,spock,5.0.5,5.0.6,rebuilt for PG 18,针对 18 重新构建
2026-05-01,storage_engine,1.2.3,1.3.4,"PGXN bump, table access method for row/column compression; PGXN update, columnar and row-compressed table access methods",PGXN 更新，列式/行压缩 table access method；PGXN 更新，列式与行压缩 table access method
2026-05-01,timescaledb,2.26.3,2.26.4,TimescaleDB TSL minor update; TSL minor update,TimescaleDB TSL 小版本更新；TSL 小版本更新
2026-04-25,credcheck,4.6,4.7,"bump, PG 14-18, PGDG",升级，PG 14-18，PGDG
2026-04-25,documentdb,0.109,0.110,"bump to upstream, PG 15-18",升级到上游版本，PG 15-18
2026-04-25,parray_gin,1.4.0,1.5.0,"bump, PG 14-18",升级，PG 14-18
2026-04-25,pg_accumulator,,1.1.3,"new, PG 14-18",新增，PG 14-18
2026-04-25,pg_dbms_job,1.5,2.0,"bump, PG 14-18, PGDG",升级，PG 14-18，PGDG
2026-04-25,pg_ivm,1.13,1.14,"bump, PG 14-18",升级，PG 14-18
2026-04-25,pg_prefix,1.2.10,1.2.11,"bump, PG 14-18, PGDG",升级，PG 14-18，PGDG
2026-04-25,pg_search,0.23.0,0.23.1,"bump, PG 15-18, pgrx 0.18.0",升级，PG 15-18，pgrx 0.18.0
2026-04-25,pg_trickle,0.20.0,0.31.0,"bump, PG 18 only, pgrx 0.18.0",升级，仅 PG 18，pgrx 0.18.0
2026-04-25,pgmq,1.11.0,1.11.1,"bump, PG 14-18",升级，PG 14-18
2026-04-25,rdf_fdw,2.4.0,2.5.0,"bump, PG 14-18",升级，PG 14-18
2026-04-25,storage_engine,1.0.7,1.2.3,"bump, PG 14-18",升级，PG 14-18
2026-04-19,cloudberry,2.0.0,2.1.0-2,"bump to 2.1.0, release 2 fixes initdb errno issue; bump, split backup and PXF subpackages; RPM 2.1.0-2, DEB 2.1.0",升级到 2.1.0，release 2 修复 initdb errno 问题；升级，并拆分 backup / pxf 子包；RPM 2.1.0-2，DEB 2.1.0
2026-04-19,cloudberry_backup,,2.1.0-2,"new companion package; RPM 2.1.0-2, DEB 2.1.0",新增 Cloudberry 备份工具包；新增配套子包；RPM 2.1.0-2，DEB 2.1.0
2026-04-19,cloudberry_pxf,,2.1.0-2,"new companion package; RPM 2.1.0-2, DEB 2.1.0",新增 Cloudberry PXF 包；新增配套子包；RPM 2.1.0-2，DEB 2.1.0
2026-04-19,orioledb,beta14,beta15,"paired with OriolePG 17.18; bump, paired with oriolepg 17.18; RPM beta15, DEB 1.7",配套 OriolePG 17.18；升级，配套 oriolepg 17.18；RPM beta15，DEB 1.7
2026-04-19,oriolepg,17.16,17.18,kernel patchset update; kernel update for orioledb beta15 / 1.7,内核补丁集更新；内核升级，适配 orioledb beta15/1.7
2026-04-19,pg_clickhouse,0.1.10,0.2.0,bump,升级
2026-04-19,pg_search,0.22.6,0.23.0,bump,升级
2026-04-19,pg_stat_ch,0.3.4,0.3.6,"EL9+ only; bump, PG 16-18",仅支持 EL9+；升级，PG 16-18
2026-04-19,pg_trickle,0.17.0,0.20.0,"PG 18 only; bump, PG 18 only",仅支持 PG 18；升级，仅 PG 18
2026-04-19,pgclone,3.6.0,4.0.0,bump,升级
2026-04-19,pgproto,0.2.4,0.3.3,bump,升级
2026-04-19,pgxicor,0.1.0,0.1.1,bump,升级
2026-04-19,re2,,0.1.1,"new, PG 16-18",新增，PG 16-18
2026-04-19,storage_engine,,1.0.7,"new, PG 14-18",新增，PG 14-18
2026-04-19,timescaledb,2.26.2,2.26.3,bump,升级
2026-04-19,ulak,,0.0.2,"new, PG 14-18",新增，PG 14-18
2026-04-14,block_copy_command,,0.1.5,"new, PG 14-18, pgrx 0.17.0",新增，PG 14-18，Rust/pgrx 0.17.0
2026-04-14,datasketches,,1.7.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,ddl_historization,0.0.7,0.2,bump,升级
2026-04-14,external_file,,1.2,"new, PG 14-18",新增，PG 14-18
2026-04-14,logical_ddl,,0.1.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,nominatim_fdw,1.1.0,1.2,bump,升级
2026-04-14,one_sparse,,1.0.0,"new, PG 18 only",新增，仅 PG 18
2026-04-14,parray_gin,,1.4.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_anon,3.0.1,3.0.13,"bump, pgrx 0.16.1 -> 0.17.0",升级，Rust/pgrx 0.16.1 -> 0.17.0
2026-04-14,pg_background,1.8,1.9.2,bump,升级
2026-04-14,pg_byteamagic,,0.2.4,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_cardano,1.1.1,1.2.0,"bump, pgrx 0.17.0",升级，Rust/pgrx 0.17.0
2026-04-14,pg_clickhouse,0.1.5,0.1.10,bump,升级
2026-04-14,pg_datasentinel,,1.0,"new, PG 15-18",新增，PG 15-18
2026-04-14,pg_dispatch,,0.1.5,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_failover_slots,1.2.0,1.2.1,bump,升级
2026-04-14,pg_fsql,,1.1.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_incremental,1.4.1,1.5.0,bump,升级
2026-04-14,pg_isok,,1.4.1,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_ivm,1.13,1.14,bump,升级
2026-04-14,pg_kazsearch,,2.0.0,"new, PG 16-18, pgrx 0.17.0",新增，PG 16-18，Rust/pgrx 0.17.0
2026-04-14,pg_liquid,,0.1.7,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_query_rewrite,,0.0.5,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_regresql,,2.0.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_rrf,,0.0.3,"new, PG 14-17, pgrx 0.16.1 -> 0.17.0",新增，PG 14-17，Rust/pgrx 0.16.1 -> 0.17.0
2026-04-14,pg_search,0.22.2,0.22.6,bump,升级
2026-04-14,pg_slug_gen,,1.0.0,"new, PG 15-18",新增，PG 15-18
2026-04-14,pg_stat_ch,,0.3.4,"new, PG 16-18",新增，PG 16-18
2026-04-14,pg_store_plans,1.9,1.10,bump,升级
2026-04-14,pg_strict,1.0.3,1.0.5,"bump, pgrx 0.16.1 -> 0.17.0",升级，Rust/pgrx 0.16.1 -> 0.17.0
2026-04-14,pg_text_semver,,1.2.1,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_textsearch,0.5.0,1.0.0,bump,升级
2026-04-14,pg_trickle,0.16.0,0.17.0,"bump, pgrx 0.17.0",升级，Rust/pgrx 0.17.0
2026-04-14,pg_tzf,0.2.3,0.2.4,"bump, pgrx 0.17.0",升级，Rust/pgrx 0.17.0
2026-04-14,pg_variables,,1.2.5,"new, PG 14-18",新增，PG 14-18
2026-04-14,pg_vectorize,0.26.0,0.26.1,"bump, pgrx 0.16.1 -> 0.17.0",升级，Rust/pgrx 0.16.1 -> 0.17.0
2026-04-14,pg_when,,0.1.9,"new, PG 14-18, pgrx 0.17.0",新增，PG 14-18，Rust/pgrx 0.17.0
2026-04-14,pgbson,,2.0.2,"new, PG 14-18",新增，PG 14-18
2026-04-14,pgcalendar,,1.1.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,pgclone,,3.6.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,pgelog,,1.0.2,"new, PG 14-18",新增，PG 14-18
2026-04-14,pghydro,,6.6,"new, PG 14-18",新增，PG 14-18
2026-04-14,pglinter,1.1.1,1.1.2,"bump, pgrx 0.16.1 -> 0.17.0",升级，Rust/pgrx 0.16.1 -> 0.17.0
2026-04-14,pglock,,1.0.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,pgmqtt,,0.1.0,"new, PG 14-18, pgrx 0.16.1 -> 0.17.0",新增，PG 14-18，Rust/pgrx 0.16.1 -> 0.17.0
2026-04-14,pgproto,,0.2.4,"new, PG 14-18",新增，PG 14-18
2026-04-14,pgx_ulid,0.2.2,0.2.3,"bump, pgrx 0.17.0",升级，Rust/pgrx 0.17.0
2026-04-14,plv8,3.2.4,3.2.4-2,fix el10 build,fix el10 build
2026-04-14,polardb,15.15,17.9.1.0,PG 15 -> 17,PG 15 -> 17
2026-04-14,provsql,,1.2.3,"new, PG 14-18",新增，PG 14-18
2026-04-14,rdf_fdw,,2.4.0,"new, PG 14-18",新增，PG 14-18
2026-04-14,rdkit,,202503.6,"new, PG 14-18",新增，PG 14-18
2026-04-14,supautils,3.1.0,3.2.1,bump,升级
2026-04-14,system_stats,3.2,4.0,bump,升级
2026-04-14,timescaledb,2.25.2,2.26.2,bump,升级
2026-04-14,wrappers,0.5.7,0.6.0,"bump, pgrx 0.16.1 -> 0.17.0",升级，Rust/pgrx 0.16.1 -> 0.17.0
2026-03-21,pdu,,3.0.25.12,new,新增
2026-03-21,pg_clickhouse,0.1.4,0.1.5,,
2026-03-21,pg_search,0.21.12,0.22.2,,
2026-03-21,pg_track_optimizer,0.9.1,0.9.2,,
2026-03-21,pg_ttl_index,2.0.0,3.0.0,,
2026-03-21,pgcollection,1.0.0,2.0.0,,
2026-03-21,pgdog,,0.1.32,new,新增
2026-03-21,pgsentinel,1.4.0,1.4.1,rpm only,仅更新 rpm
2026-03-05,aggs_for_vecs,1.4.0,1.4.1,"upstream bump, PG 14-18",上游版本升级，PG 14-18
2026-03-05,pg_eviltransform,,0.0.2,"new extension; new package, version aligned",新增扩展；新增扩展包，并对齐版本号
2026-03-05,pg_pinyin,,0.0.2,"new extension; new package, PG 14-18",新增扩展；新增扩展包，PG 14-18
2026-03-05,pg_qos,,1.0.0,"new extension, QoS resource governor; new package, PG 15-18",新增扩展，QoS 资源治理；新增扩展包，PG 15-18
2026-03-05,pg_search,0.21.9,0.21.12,,
2026-03-05,timescaledb,2.25.1,2.25.2,"upstream bump, PG 15-18",上游版本升级，PG 15-18
2026-03-05,vchord,1.1.0,1.1.1,"add clang build requirement; upstream bump, PG 14-18",新增 clang 构建依赖；上游版本升级，PG 14-18
2026-03-05,vchord_bm25,0.3.0-1,0.3.0-2,"packaging fix, PG 14-18",打包修复，PG 14-18
2026-02-27,age,1.7.0,1.7.0,added PG 17 build for 1.7.0,新增 PG 17 的 1.7.0 版本支持
2026-02-27,antlr4_runtime413,,4.13,new runtime dependency for Babelfish,新增 Babelfish 依赖运行时
2026-02-27,babelfish,,5.5.0,new Babelfish compatibility package,新增 Babelfish 兼容包
2026-02-27,babelfishpg,,5.5.0,new BabelfishPG package group,新增 BabelfishPG 包组
2026-02-27,citus,14.0.0-3,14.0.0-4,rebuilt with latest official release,使用最新官方版本重新构建
2026-02-27,cloudberry,,2.0.0,new package,新增包
2026-02-27,lolor,,1.2.2,"new, pgEdge core extension",新增，pgEdge 核心扩展
2026-02-27,openhalo,14.10,1.0,"updated and renamed, 14.18",更新并重命名，14.18
2026-02-27,orioledb,beta12,beta14,paired with OriolePG 17.16,配套 OriolePG 17.16
2026-02-27,oriolepg,17.11,17.16,OriolePG kernel update,OriolePG 内核更新
2026-02-27,pg_background,,1.8,"DEB only, no RPM package",仅提供 DEB 包，没有 RPM
2026-02-27,pg_search,0.21.7,0.21.9,direct download usage,直接下载使用
2026-02-27,pgedge,,17.9,new multi-master edge kernel,新增多主边缘分布式内核
2026-02-27,pgmq,1.10.0,1.10.1,package unavailable for now,当前没有该扩展包
2026-02-27,snowflake,,2.4,"new, pgEdge core extension",新增，pgEdge 核心扩展
2026-02-27,spock,,5.0.5,"new, pgEdge core extension",新增，pgEdge 核心扩展
2026-02-27,timescaledb,2.25.0,2.25.1,,
2026-02-12,citus,14.0.0-2,14.0.0-3,official tag release,官方正式 tag 发布
2026-02-12,nominatim_fdw,,1.1.0,"new, synced with PGDG YUM; new, sync with pgdg yum repo",新增，与 PGDG YUM 同步
2026-02-12,pg_anon,2.5.1,3.0.1,,
2026-02-12,pg_bigm,1.2-20240606,1.2-20250903,,
2026-02-12,pg_graphql,1.5.12-1,1.5.12-2,switch to official release,切换至官方版本；切换至官方 release
2026-02-12,pg_incremental,1.2.0,1.4.1,,
2026-02-12,pg_jsonschema,0.3.3,0.3.4,,
2026-02-12,pg_math,1.0,1.1.0,,
2026-02-12,pg_net,0.20.0,0.20.2,el8/el9 libcurl too low; ubuntu22 libcurl too low,el8/el9 libcurl 版本过低；ubuntu22 libcurl 版本过低
2026-02-12,pg_readonly,1.0.3,1.0.4,,
2026-02-12,pg_roaringbitmap,0.5.5,1.1.0,moved to PGDG,交由 PGDG
2026-02-12,pg_search,0.21.4,0.21.7,"manual build for el8; RPM 0.21.7, DEB 0.21.6",针对 el8 手工构建；RPM 0.21.7，DEB 0.21.6
2026-02-12,pg_strict,,1.0.2,new Rust extension,新增 Rust 扩展
2026-02-12,pg_summarize,0.0.1-2,0.0.1-3,rebuild to fix pg18 issue,重新构建，修复 pg18 问题
2026-02-12,pg_textsearch,0.4.0,0.5.0,,
2026-02-12,pg_track_optimizer,,0.9.1,new extension,新增扩展
2026-02-12,pg_uint128,1.1.1,1.2.0,,
2026-02-12,pg_uri,1.20151224,1.20251029,,
2026-02-12,pg_utl_smtp,,1.0.0,"new, synced with PGDG YUM; new, sync with pgdg yum repo",新增，与 PGDG YUM 同步
2026-02-12,pgcollection,1.1.0,1.1.1,patched for concurrent build,补丁修复并发构建问题
2026-02-12,pglinter,1.0.1,1.1.0,,
2026-02-12,pgmb,,1.0.0,new extension,新增扩展
2026-02-12,pgmq,1.9.0,1.10.0,dependency fixes,修复依赖关系
2026-02-12,pgsentinel,1.3.1,1.4.0,,
2026-02-12,pljs,1.0.4,1.0.5,,
2026-02-12,plprql,18.0.0,18.0.1,,
2026-02-12,sslutils,1.4-1,1.4-2,el8.pg18 build failure,el8.pg18 无法编译
2026-02-12,supautils,3.0.2,3.1.0,,
2026-02-12,table_version,1.11.0,1.11.1,,
2026-02-12,timescaledb,2.24.0,2.25.0,,
2026-02-12,timestamp9,1.4.0-1,1.4.0-2,rebuild to fix deps,重新构建，修复依赖问题
2026-02-12,vchord,1.0.0,1.1.0,updated to pgrx 0.17.0,更新至 pgrx 0.17.0
2026-01-25,age,1.6.0,1.7.0,PG 18 only,仅支持 PG 18
2026-01-25,citus,14.0.0-1PIGSTY,14.0.0-2PIGSTY,official branch release,官方分支版本
2026-01-25,pg_clickhouse,0.1.2,0.1.3,,
2026-01-25,pg_search,0.21.2,0.21.4,,
2026-01-25,pgmq,1.8.1,1.9.0,,
2026-01-16,age,1.5.0,1.6.0,+pg18 use PGDG,+pg18 PGDG
2026-01-16,citus,13.2.0,14.0.0,"+pg18, pre-release",+pg18，预发布
2026-01-16,documentdb,0.107,0.109,"+pg18, use ms version","+pg18，使用微软版本；+pg18, 使用微软版本"
2026-01-16,etcd_fdw,,0.0.0,new,新增
2026-01-16,mobilitydb,,1.3.0,new,新增
2026-01-16,pg_biscuit,2.0.1,2.2.2,,
2026-01-16,pg_bulkload,3.1.22,3.1.23,+pg18,+pg18
2026-01-16,pg_clickhouse,0.1.0,0.1.2,,
2026-01-16,pg_convert,0.0.5,0.1.0,,
2026-01-16,pg_partman,5.3.1,5.4.0,use PGDG,PGDG
2026-01-16,pg_search,0.20.5,0.21.2,+pg18,+pg18
2026-01-16,pg_textsearch,0.1.0,0.4.0,,
2026-01-16,pg_timeseries,0.1.8,0.2.0,,
2026-01-16,pg_ttl_index,,0.1.0,new,新增
2026-01-16,pgfincore,,1.3.1,+pg18; use PGDG,+pg18；PGDG
2026-01-16,pgmq,1.8.0,1.8.1,,
2026-01-16,pgsentinel,1.3.0,1.3.1,use PGDG,PGDG
2026-01-16,pljs,,1.0.4,new; use PGDG,新增；PGDG
2026-01-16,rum,,1.3.15,"+pg18, new","+pg18, 新增"
2025-12-25,pg_duckdb,1.1.0,1.1.1,,
2025-12-25,pg_search,0.20.4,0.20.5,,
2025-12-25,pg_semver,0.40.0,0.41.0,,
2025-12-25,pg_summarize,0.0.1-1,0.0.1-2,fix pg18,修复 pg18
2025-12-25,pg_timeseries,0.1.7,0.1.8,,
2025-12-25,supautils,3.0.2-1,3.0.2-2,fix pg18,修复 pg18
2025-12-25,vchord_bm25,0.2.2,0.3.0,,
2025-12-16,pg_ai_query,,0.1.1,new,新扩展
2025-12-16,pg_anon,2.4.1,2.5.1,,
2025-12-16,pg_biscuit,1.0,2.0.1,new repo,新仓库
2025-12-16,pg_clickhouse,,0.1.0,new,新扩展
2025-12-16,pg_convert,0.0.4,0.0.5,rm legacy pg,移除旧版PG；移除旧版PG支持
2025-12-16,pg_duckdb,1.1.0-1,1.1.0-2,official release,官方版本
2025-12-16,pg_enigma,0.4.0,0.5.0,,
2025-12-16,pg_search,0.20.0,0.20.4,,
2025-12-16,pg_session_jwt,0.3.3,0.4.0,,
2025-12-16,pg_textsearch,,0.1.0,new,新扩展
2025-12-16,pg_tiktoken,,,fix pg18,修复 pg18
2025-12-16,pg_tzf,,,fix pg18,修复 pg18
2025-12-16,pg_vectorize,0.25.0,0.26.0,fix pg18,修复 pg18
2025-12-16,pgdd,0.6.0,0.6.1,rm legacy pg,移除旧版PG；移除旧版PG支持
2025-12-16,pglinter,1.0.0,1.0.1,,
2025-12-16,pglite_fusion,,,fix pg18,修复 pg18
2025-12-16,pgsmcrypto,,,fix pg18,修复 pg18
2025-12-16,pgx_ulid,,,fix pg18,修复 pg18
2025-12-16,plprql,,,fix pg18,修复 pg18
2025-12-16,timescaledb,2.23.1,2.24.0,,
2025-12-16,wrappers,0.5.6,0.5.7,,
2025-12-04,synchdb,,1.3,EL9 only; Ubuntu 22/24 only,EL9 only；仅支持 Ubuntu 22/24
2025-11-20,citus,13.2.0,13.2.0,official tag,official tag
2025-11-20,documentdb,0.106,0.107,ferretdb fork,ferretdb fork
2025-11-20,pg_biscuit,,1.0,"new, pg16-18","new, pg16-18"
2025-11-20,pg_enigma,,0.4.0,vonng patched pgrx version,vonng patched pgrx version
2025-11-20,pg_later,0.3.1,0.4.0,,
2025-11-20,pg_profile,4.10,4.11,,
2025-11-20,pg_retry,,1.0.0,"new, pg17-18","new, pg17-18"
2025-11-20,pg_search,0.19.5,0.20.0,resume PIGSTY building,resume PIGSTY building
2025-11-20,pg_stat_monitor,2.2.0,2.3.1,fix PGDG pg18 missing,fix PGDG pg18 missing
2025-11-20,pg_typeid,,0.3.0,head with pg18 support,head with pg18 support
2025-11-20,pg_weighted_statistics,,1.0.0,"new, pg14-18","new, pg14-18"
2025-11-20,pglinter,,1.0.0,new,new
2025-11-20,pglite_fusion,0.0.5,0.0.6,,
2025-11-20,pgmq,1.7.0,1.8.0,,
2025-11-20,pgvectorscale,0.8.0,0.9.0,"-legacy, +pg18","-legacy, +pg18"
2025-11-20,pgx_ulid,0.2.1,0.2.2,,
2025-11-20,polardb,,15.15,15.15.5.0-38948055,15.15.5.0-38948055
2025-11-20,timescaledb,2.23.0,2.23.1,,
2025-11-20,vchord,0.5.3,1.0.0,,
2025-11-10,aggs_for_arrays,1.3.3,,+pg18,+pg18
2025-11-10,aggs_for_vecs,1.4.0,,+pg18,+pg18
2025-11-10,asn1oid,1.6,,+pg18,+pg18
2025-11-10,aws_s3,0.0.1,,+pg18,+pg18
2025-11-10,chkpass,1.0,,+pg18,+pg18
2025-11-10,count_distinct,3.0.2,,+pg18,+pg18
2025-11-10,credcheck,3.0,4.2,+pg18,+pg18
2025-11-10,cryptint,1.0.0,,+pg18,+pg18
2025-11-10,data_historization,1.1.0,,+pg18,+pg18
2025-11-10,db_migrator,1.0.0,,+pg18,+pg18
2025-11-10,dbt2,0.61.7,,+pg18,+pg18
2025-11-10,ddl_historization,0.0.7,,+pg18,+pg18
2025-11-10,ddsketch,1.0.1,,+pg18,+pg18
2025-11-10,decoder_raw,1.0,,+pg18,+pg18
2025-11-10,decoderbufs,3.2.0,,+pg18,+pg18
2025-11-10,emaj,4.7.0,4.7.1,+pg18,+pg18
2025-11-10,faker,0.5.3,,+pg18,+pg18
2025-11-10,firebird_fdw,1.4.0,1.4.1,+pg18,+pg18
2025-11-10,first_last_agg,0.1.4,,+pg18,+pg18
2025-11-10,floatfile,1.3.1,,+pg18,+pg18
2025-11-10,floatvec,1.1.1,,+pg18,+pg18
2025-11-10,geoip,0.3.0,,+pg18,+pg18
2025-11-10,hashtypes,0.1.5,,+pg18,+pg18
2025-11-10,hll,2.18,,+pg18,+pg18
2025-11-10,hunspell_cs_cz,1.0,,+pg18,+pg18
2025-11-10,hunspell_de_de,1.0,,+pg18,+pg18
2025-11-10,hunspell_en_us,1.0,,+pg18,+pg18
2025-11-10,hunspell_fr,1.0,,+pg18,+pg18
2025-11-10,hunspell_ne_np,1.0,,+pg18,+pg18
2025-11-10,hunspell_nl_nl,1.0,,+pg18,+pg18
2025-11-10,hunspell_nn_no,1.0,,+pg18,+pg18
2025-11-10,hunspell_pt_pt,1.0,,+pg18,+pg18
2025-11-10,hunspell_ru_ru,1.0,,+pg18,+pg18
2025-11-10,hunspell_ru_ru_aot,1.0,,+pg18,+pg18
2025-11-10,hypopg,1.4.1,1.4.2,+pg18,+pg18
2025-11-10,imgsmlr,1.0,,+pg18,+pg18
2025-11-10,index_advisor,0.2.0,,+pg18,+pg18
2025-11-10,kafka_fdw,0.0.3,,+pg18,+pg18
2025-11-10,logerrors,2.1.3,2.1.5,+pg18,+pg18
2025-11-10,login_hook,1.7,,+pg18,+pg18
2025-11-10,mobilitydb,1.2.0,1.3.0,+pg18,+pg18
2025-11-10,mongo_fdw,5.5.1,5.5.3,+pg18,+pg18
2025-11-10,multicorn,3.0,3.2,+pg18,+pg18
2025-11-10,omni_csv,,0.1.1,new,new
2025-11-10,omni_datasets,,0.1.0,new,new
2025-11-10,omni_shmem,,0.1.0,new,new
2025-11-10,omnigres,0.2.9,0.2.14,+pg18,+pg18
2025-11-10,oracle_fdw,2.8.0,,+pg18,+pg18
2025-11-10,orafce,4.14.4,4.14.6,+pg18,+pg18
2025-11-10,periods,1.2.2,1.2.3,+pg18,+pg18
2025-11-10,pg_acl,1.0.4,,+pg18,+pg18
2025-11-10,pg_anon,2.3.0,2.4.1,+pg18,+pg18
2025-11-10,pg_arraymath,1.1,,+pg18,+pg18
2025-11-10,pg_auth_mon,3.0,,+pg18,+pg18
2025-11-10,pg_background,1.3,,+pg18,+pg18
2025-11-10,pg_base36,1.0.0,,+pg18,+pg18
2025-11-10,pg_base62,0.0.1,,+pg18,+pg18
2025-11-10,pg_bestmatch,0.0.1,0.0.2,+pg18,+pg18
2025-11-10,pg_bigm,1.2,,+pg18,+pg18
2025-11-10,pg_bzip,1.0.0,,+pg18,+pg18
2025-11-10,pg_cardano,1.0.5,1.1.1,+pg18,+pg18
2025-11-10,pg_checksums,1.1,1.3,+pg18,+pg18
2025-11-10,pg_convert,0.0.4,,+pg18,+pg18
2025-11-10,pg_country,0.0.3,,+pg18,+pg18
2025-11-10,pg_cron,1.6.7,,+pg18,+pg18
2025-11-10,pg_csv,,1.0.1,new,new
2025-11-10,pg_currency,0.0.3,,+pg18,+pg18
2025-11-10,pg_dbms_errlog,,2.2,new,new
2025-11-10,pg_duckdb,0.3.1,1.1.0,+pg18,+pg18
2025-11-10,pg_emailaddr,0,,+pg18,+pg18
2025-11-10,pg_envvar,1.0.1,,+pg18,+pg18
2025-11-10,pg_explain_ui,0.0.1,0.0.2,+pg18,+pg18
2025-11-10,pg_failover_slots,1.1.0,1.2.0,+pg18,+pg18
2025-11-10,pg_financial,1.0.1,,+pg18,+pg18
2025-11-10,pg_fio,1.0,,+pg18,+pg18
2025-11-10,pg_graphql,1.5.11,1.5.12,+pg18,+pg18
2025-11-10,pg_gzip,1.0.1,1.0.0,+pg18,+pg18
2025-11-10,pg_h3,4.1.3,4.2.3,+pg18,+pg18
2025-11-10,pg_hashlib,1.1,,+pg18,+pg18
2025-11-10,pg_hint_plan,1.7.1,1.8.0,+pg18,+pg18
2025-11-10,pg_idkit,0.3.1,0.4.0,+pg18,+pg18
2025-11-10,pg_ivm,1.11,1.13,+pg18,+pg18
2025-11-10,pg_later,0.3.0,0.3.1,+pg18,+pg18
2025-11-10,pg_mooncake,0.1.2,0.2.0,+pg18,+pg18
2025-11-10,pg_net,0.9.2,0.20.0,+pg18,+pg18
2025-11-10,pg_parquet,0.4.3,0.5.1,+pg18,+pg18
2025-11-10,pg_partman,5.2.4,5.3.1,"+pg18; RPM 5.3.1, DEB 5.3.0",+pg18；RPM 5.3.1，DEB 5.3.0
2025-11-10,pg_prefix,1.2.10,,+pg18,+pg18
2025-11-10,pg_profile,4.10,,+pg18,+pg18
2025-11-10,pg_render,0.1.2,0.1.3,+pg18,+pg18
2025-11-10,pg_roaringbitmap,0.5.4,0.5.5,+pg18,+pg18
2025-11-10,pg_rrule,,0.2.0,new,new
2025-11-10,pg_search,0.18.1,0.19.2,+pg18,+pg18
2025-11-10,pg_semver,0.32.1,0.40.0,+pg18,+pg18
2025-11-10,pg_session_jwt,0.3.1,0.3.3,+pg18,+pg18
2025-11-10,pg_show_plans,2.1.6,2.1.7,+pg18,+pg18
2025-11-10,pg_smtp_client,0.2.0,0.2.1,+pg18,+pg18
2025-11-10,pg_stat_kcache,2.3.0,,+pg18,+pg18
2025-11-10,pg_stat_monitor,2.2.0,2.3.0,+pg18,+pg18
2025-11-10,pg_statement_rollback,1.4,1.5,+pg18,+pg18
2025-11-10,pg_store_plans,1.8,1.9,+pg18,+pg18
2025-11-10,pg_task,1.0.0,2.1.12,+pg18,+pg18
2025-11-10,pg_timeseries,0.1.6,0.1.7,+pg18,+pg18
2025-11-10,pg_tle,1.5.1,1.5.2,+pg18,+pg18
2025-11-10,pg_tokenizer,0.1.0,0.1.1,+pg18,+pg18
2025-11-10,pg_tzf,0.2.2,0.2.3,+pg18,+pg18
2025-11-10,pg_uint128,1.1.0,1.1.1,+pg18,+pg18
2025-11-10,pg_uuidv7,1.6.0,1.7.0,+pg18,+pg18
2025-11-10,pg_vectorize,0.22.2,0.25.0,+pg18,+pg18
2025-11-10,pg_zstd,1.1.2,,+pg18,+pg18
2025-11-10,pgactive,2.1.6,2.1.7,+pg18,+pg18
2025-11-10,pgcollection,1.0.0,1.1.0,+pg18,+pg18
2025-11-10,pgdd,0.6.0,,+pg18,+pg18
2025-11-10,pgjwt,0.2.0,,+pg18,+pg18
2025-11-10,pglogical,2.4.5,2.4.6,+pg18,+pg18
2025-11-10,pgmp,1.0.5,,+pg18,+pg18
2025-11-10,pgmq,1.5.1,1.7.0,+pg18,+pg18
2025-11-10,pgnodemx,1.7,,+pg18,+pg18
2025-11-10,pgpcre,1,0.20190509,+pg18,+pg18
2025-11-10,pgroonga,4.0.0,4.0.4,+pg18,+pg18
2025-11-10,pgsmcrypto,0.1.0,0.1.1,+pg18,+pg18
2025-11-10,pgsodium,3.1.9,,+pg18,+pg18
2025-11-10,pgsphere,1.5.1,1.5.2,+pg18,+pg18
2025-11-10,pgsql_tweaks,0.11.3,1.0.2,+pg18,+pg18
